premise,hypothesis,label
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.,از نشانه های فرمانروایی شاهان هخامنشی گزیدن نامی در خور بود.,e
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی «شاعر ملی» خوانده می‌شود.,اقبال لاهوری، شاعر ملی پاکستان است.,e
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال۱۲۵۰ پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.,اوج شکوفایی هنر ایلامی در معبد چغازنبیل متجلی است.,e
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.,داریوش به هنگام ساخت کاخ شوش، از جواهرسازان قوم ماد استفاده کرد.,e
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.,شاخه ی غربی جاده شاهی شهرهای سارد و شوش را به یکدیگر متصل میکرد.,e
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت دربارهٔ ۳۵۴ از عارفان شاعر یا شاعران عارف ایران است.,"""ریاض العارفین"" از آثار ""رضاقلی‌خان هدایت"" می باشد.",e
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه (۵۵%)، عرب های سنی (۲۵%) و کردهای سنی (۲۰%),۵۵ درصد از جمعیت عراق را عرب های شیعه تشکیل داده اند.,e
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.,بهانه ای که کوروش را به فکر حمله به بین النهرین انداخت تمایل پیمان بابل با کرزوس بود.,e
رضاقلی خان طبرستانی ملقب به لَلِـه‌باشی در ۱۸ خرداد ۱۱۷۹ در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت.,"فتحعلی شاه به ""رضاقلی خان طبرستانی""، عنوان ""امیرالشعرایی"" داد.",e
مجمعُ‌الفُصحاء (تألیف ۱۲۸۴ قمری) تذکرهٔ ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار ۸۶۷ شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکرهٔ شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است,"بزرگترین تذکره شاعران فارسی‌گو، کتاب ""مجمعُ‌الفُصحاء "" است.",e
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.,ابن خلدون بر این نظر است که خودکامگی و ناز و نعمت و تجمل، منجر به سالخوردگی حکومت می شود.,e
کوتیر-ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر-ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال ۱۱۵۷ پیش از میلاد خاتمه می یابد.,در سال ۱۱۵۷ ق.م کوتیر-ناهوته حکمران ایلام برای گرفتن انتقام بابل را فتح میکند.,e
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد؛ وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او «فروغ‌الدوله»، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.,"اولین تخلص فروغی بسطامی ""مسکین"" بود.",e
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را «مجتهدالشعراء» لقب داد و محمدشاه نیز قاآنی را «حسان‌العجم» می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایهٔ شگفتی خوانندگان بود.,"لقب ""مجتهدالشعراء"" از سوی فتحعلی‌شاه به قاآنی داده شد.",e
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است؛ کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.,"کتاب ""پریشان"" اثر قاآنی به تقلید از کتاب گلستان سعدی نوشته شده است.",e
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمّدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمّدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.,قاآنی شاعر دوران قاجار، با سه پادشاه قاجار هم دوره بود.,e
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال ۱۳۵۴ چاپ شده‌است.,مترجم کتاب مینوی خرد، احمد تفضلی است.,e
اَرداویراف‌نامه، بر رساله الغفران اثر ابوالعلاء معری و به ویژه بر کمدی الهی از دانته، تأثیر داشته‌است. موضوع اصلی اینگونه معراج‌نامه‌ها، سفر عرفانی است و مسافران در واقع شارحان روح و روان خویش‌اند، اَرداویراف موبد زرتشتی و «ابن قارح» شاعر عرب که از طرف ابوالعلاء معری راهی این سفر می‌شود هم، از این قاعده مستثنی نیستند. اما کتاب «سیر العباد الی المعاد» سنایی بیشتر متأثر از کتیبه کرتیر و کشف و شهود گشتاسپ است پس از آنکه به آیین زرتشت درآمد.,"کتاب ""اَرداویراف‌نامه"" بر کتاب ""کمدی الهی"" تاثیرگذار بوده است.",e
مسلمه بن احمد مجریطی اولین دانشمند ریاضی دان و نجوم شناس اندلسی است. یکی از کتاب های وی در زمینه مثلثات، به نام «مسائل من حساب المثلثات الکروی» است که پایه علم مثلثات و جبر قرار گرفت.,کتاب «مسائل من حساب المثلثات الکروی» که پایه علم مثلثات و جبر قرار گرفت، از مسلمه بن احمد مجریطی است.,e
ابومنصور محمد بن عبدالرزاق حاکم توس بود. که به دستور او، وزیرش ابو منصور معمری داستان‌ها و افسانه‌های باستانی ایران را طی سال‌های ۴۵ تا ۳۳۹ هجری قمری جمع‌آوری کرده و تحت عنوان شاهنامه ابومنصوری تدوین کردند که بعدها تبدیل به منبع اصلی فردوسی برای سرودن شاهنامه شد.,"کتاب ""شاهنامه ابومنصوری"" به دستور ""ابومنصور محمد بن عبدالرزاق"" نوشته شد.",e
قیصرنامه منظومه‌ای حماسی است که در سال ۱۲۹۲ قمری توسط ادیب پیشاوری سروده شد. این منظومه شامل بیش از چهارده‌هزار بیت در قالب مثنوی می‌باشد.,"مثنوی ""قیصرنامه"" از آثار ""ادیب پیشاوری"" می باشد.",e
خَلیل‌الله خَلیلی مشهور به استاد خلیلی، شاعر فارسی‌گوی معاصر افغان است.جدای مناصب اجرایی، موقعیتی بود که خلیلی در عالم ادب کسب کرد و به‌زودی نامدارترین شاعر افغانستان بدل گشت.,"مشهورترین شاعر افغانستان، ""خَلیل‌الله خَلیلی"" است.",e
مسعود سعد سلمان که مدت درازی در زندان بوده‌است نخستین شاعر فارسی‌زبان است که زندان‌نامه(حبسیه) سروده، طبیعتاً سایر زندان‌نامه‌سرایان حتی تا روزگار ما گوشه‌چشمی به حبسیات او داشته‌اند.,"نخستین شاعر ایرانی که به سرودن ""حبسیه"" پرداخت، ""مسعود سعد سلمان"" می باشد.",e
"کتاب ""احیاء علوم‌الدین"" مشهور به ""احیاء العلوم"" از آثار شناخته‌شدهٔ ابوحامد محمد غزالی است که به زبان عربی نوشته شده. این کتاب که محتوای دینی، اخلاقی و عرفانی دارد همواره مورد توجه عالمان شیعه و سنی بوده‌است.","کتاب ""احیاء علوم‌الدین"" به زبان عربی نگاشته شده است.",e
"علاوه بر ترجمه و تألیف کتاب‌ها و مقالات مختلف، تبحر و تخصص ""حسین خدیوجم"" به‌طور عمده در تصحیح و مقابله کتب تاریخی بود. یکی از مهم‌ترین کارهای او تصحیح و چاپ ترجمه فارسی ""احیاء علوم الدین"" محمد غزالی است. وی بعد از بررسی و مقابله ۱۴ نسخه مختلف از این کتاب و بعد از صرف ۱۵ سال وقت آن را عرضه داشته‌است.","ترجمه فارسی کتاب ""احیاء علوم الدین"" از آثار محمد غزالی توسط ""حسین خدیوجم"" انجام شد.",e
"گفته می‌شود شمار تصنیفات ابوالعلای معری از ۱۰۰ می‌گذرد. آثار او در زمینه‌های گوناگون لغت، ادب و نقد گرد آمده‌است. بسیاری از آثار او در پی جنگ‌های صلیبی و سقوط معره نعمان از میان رفت، ولی مهم‌ترین آثاری که از او به دست ما رسیده عبارت اند از: ""لزومیات""، ""دیوان اشعار ابولعلا""، ""الأیک والغصون""، ""الاوزان و القوافی فی الشعر متنبی""، ""تاج الحرة عبث الولید"" و ""شرح دیوان ابن ابی حصینه"".","کتاب ""شرح دیوان ابن ابی حصینه"" از آثار ابوالعلای معری است.",e
ابوالعلای معری به رهین المحبسین (به معنای گروگان دو زندان) ملقب بود و با اینکه او در نه سالگی خیام درگذشته است، اما در بین ادیبان به خیام عرب شهرت دارد.,"ابوالعلای معری، به ""خیام عرب"" شهرت دارد.",e
"ابوالعَلاء مَعَرّی (به عربی: أبو العلاء المعری) یا ابوالعلی معری با نام کامل أحمد بن عبدالله بن سلیمان القضاعی التنوخی المعری ، ملقب به ""رهین المحبسین"" (به معنای گروگان دو زندان)، شاعر و فیلسوف بزرگ و بی بدیل و نابینای عرب، در روز جمعه ۲۷ ربیع‌الاول سال ۳۶۳ هجری (۹۷۳ میلادی) در شهر معره نعمان در نزدیکی شهر حلب در سوریه به دنیا آمد.","""رهین المحبسین"" لقب ابوالعلای معری می باشد.",e
طه حسین رمان‌ها و رساله‌های بسیاری نوشت ولی بخاطر زندگینامه خودنوشته‌اش به نام آن روزها (به عربی: الایام) شهرت یافته‌است.,"معروف ترین کتاب ""طه حسین""، ""آن روزها"" نام دارد.",e
مهم‌ترین‌ نشان‌ ظاهری‌ فرمانروایی‌ شاهان‌ هخامنشی‌، در کنار لباسی‌ باشکوه‌ و دبوس‌ و تخت‌ شاهی‌، تاج‌ آنان‌ بود. هخامنشیان‌ همان‌ تاجی‌ را بر سر می‌نهادند که‌ داریوش‌ طراح آن‌ بود.,در کنار لباس باشکوه و دبوس و تخت شاهی مهمترین نشان ظاهری فرمانروایان هخامنشی تاج بود.,e
یکی از نام‌آوران اولین دوره عصر ترجمه (از خلافت منصور عباسی تا وفات هارون الرشید)، جورجیس بن بختیشوع نام داشت که در آن دوره رئیس بیمارستان و دارالعلم جندی شاپور بود.,در دوره منصور، رئیس دارالعلم و بیمارستان جندی شاپور، جورجیس بن بختیشوع بود.,e
پس از مرگ داریوش، فرزندش خشایارشا بر تخت شاهی نشست. خشایارشا در اولین برنامه خود پس از نشستن به تخت با لشکری به سوی مصر رفت و توانست شورشی را که در آن جا بر پا شده بود فرو بنشاند. او برادر خود هخامنش را ساتراپ مصر کرد.,خشایارشا پس از به تخت نشستن، خواباندن شورش مصر را نخستین برنامه خود قرار داد.,e
پس از شکست سپاه داریوش توسط اسکندر، هنگامی که اسکندر به نزدیکی تخت جمشید رسید، تیرداد خزانه دار به وی پیغام داد که شهر بی دفاع است و او باید زود بیاید و تخت جمشید و خزانه را پیش از آن که اوباش آن را غارت کنند تحویل بگیرد.,تیرداد برای تحویل دادن خزانه تخت جمشید به اسکندر، پیامی به وی داد.,e
در سال ۳۳۳ پیش از میلاد ، نبرد ایسوس بین سپاه اسکندر و داریوش (آخرین پادشاه هخامنشی) رخ داد، در این جنگ داریوش شکست خورد و خانواده اش شامل مادر و همسر داریوش و دختران داریوش که استاتیرا و درییه تیس بودند، همگی اسیر شدند.,خانواده داریوش در جنگ ایسوس با اسکندر اسیر شدند.,e
«آپادانا» یا کاخ بار داریوش و خشایارشا که اریک اشمیت، حفار تخت‌جمشید آن را «عالی‌ترین، باشکوه‌ترین و وسیع‌ترین ساختمان‌های تخت‌جمشید» خوانده، مشتمل است بر یک تالار چهارگوش مرکزی با ۳۶ ستون و سه ایوان، در جهت‌های شمال، شرق و غرب هر یک با ۱۲ ستون می باشد.,منظور از آپادانا کاخ بزرگ تخت جمشید است که تالار و ایوان های آن مجموعا ۷۲ ستون دارد.,e
مسعودی معتقد است منصور عباسی، خلیفه ای بود که برای اولین بار از زبان های بیگانه برای او آثاری به عربی ترجمه کردند.,به عقیده مسعودی، تا پیش از منصور عباسی برای هیچ خلیفه‌ای آثار خارجی به عربی ترجمه نشده بود.,e
چون از دیرباز نشانه‌هایی از طغیان در رفتار اواگوراس، فرمانروای قبرس به چشم می‌خورد، اردشیر دوم هخامنشی، پس از پیمان آنتالکیداس و فراغت از مسائل آسیای صغیر، داماد خود اُرِنْتِس را مأمور سرکوب اواگوراس کرد که طی نبردی به نام نبرد قبرس، اواگوراس شکست خورد.,جنگ قبرس در زمان اردشیر دوم صورت گرفت.,e
روزنامه خاطرات اعتمادالسلطنه خاطرات محمد حسن صنیع‌الدوله ملقب به «اعتمادالسلطنه» است. این کتاب از منابع سودمند مطالعهٔ تاریخ سیاسی و اجتماعی دوره قاجاریه محسوب می‌شود.,"روزنامه خاطرات اعتمادالسلطنه در مورد وقایع تاریخی دوره ""قاجاریه"" می باشد.",e
حاج علی خان مقدم مراغه‌ای ملقب به حاجب‌الدوله، ضیاءالملک و سرانجام اعتمادالسلطنه، از رجال عهد قاجار است. دلیل عمدهٔ شهرت وی حمل نامهٔ قتل امیر کبیر به دستور ناصرالدین شاه قاجار است. پس از آنکه دشمنان امیرکبیر، ناصرالدین شاه را نسبت به او بدگمان کردند، فرمان قتلش را از شاه گرفتند. حاج علی خان مأمور قتل امیرکبیر شد.,"""حاج علی خان مراغه‌ای""، مأمور قتل امیرکبیر بود.",e
کتاب به سوی اصفهان نوشته «پییر لوتی» نویسنده و جهانگرد نامدار فرانسوی است، که در سال ۱۹۰۴ (میلادی) به رشته نگارش درآورده است.,"کتاب ""به سوی اصفهان"" از آثار ""پیر لوتی"" می باشد.",e
محمدعلی موحد در زمینه مسایل حقوقی نیز صاحب نظر بوده و دو کتاب «درس‌هایی از داوری‌های نفتی» و «نفت ما و مسائل حقوقی آن» به عنوان کتاب درسی در دوره کارشناسی ارشد حقوق تجارت به عنوان منبع درسی معرفی شده‌است. موحد نخستین بار مسایل حقوقی نفت را وارد متون درسی دانشگاه کرد.,"""محمدعلی موحد"" برای اولین بار موارد حقوقی نفتی را وارد دروس دانشگاهی کرد.",e
ابوریحان بیرونی در کتاب «قانون مسعودی» عملی کردن روش محاسبه شعاع زمین توسط خود را گزارش می‌دهد.,کتاب قانون مسعودی اثر ابوریحان بیرونی است.,e
سفرنامه ی ابن بطوطه که «تُحفَة اَلنُظار فی غَرائِب اَلأمَصار وعَجائِب اَلأسَفار» نام دارد، در قرن هشتم هجری و به دستور یکی از امرای مغرب نگاشته شده‌است. محتویات آن حاصل مشاهدات خود ابن بطوطه است.,سفرنامه ی ابن بطوطه در قرن هشتم هجری نوشته شده است.,e
اندلس مهم‌ترین مرکز رشد فلسفه بود که از همان طریق دستاوردهای علمی جهان اسلام به اروپا منتقل شد.,مهمترین مرکز رشد فلسفه و مسیر انتقال دستاوردهای جهان اسلام به اروپا، اندلس بود.,e
ابن‌بطوطه ،این جهانگرد معروف مراکشی که از مردمان بربر یا آمازیغی بود، در خلال سفر طولانی خود، چهار بار به ایران یا به قول خودش «فارس» یا «بلاد عجم» وارد شده‌است و در تمام سفرهای شرقی خود از زبان فارسی برای ارتباط با غیرعرب‌ها استفاده کرد.,ابن بطوطه، جهانگرد مشهور مراکشی چهار بار به ایران سفر داشته است.,e
سفرنامه ابن بطوطه که مدت ۲۹ سال و نیم به طول انجامیده، در روز پنجشنبه ۶ تیر سال ۷۰۴ هجری خورشیدی آغاز شد و با بازگشت ایشان به شهر فاس پایتخت ابی عنان المرینی پادشاه مراکش در پایان دی ماه سال ۷۳۳ خورشیدی پایان یافت.,"سفرنامه ابن بطوطه ""۲۹ سال و نیم "" به طول انجامید.",e
"از آنجا که کتاب ""سفرنامه ابن بطوطه"" یکی از کتاب‌های فراگیر جغرافیایی است و اهمیت تاریخی نیز دارد، به ۴۰ زبان زنده جهان برگردان شده‌است. نخستین برگردان آن به زبان انگلیسی بوده، سپس به زبان فرانسوی و به زبان پرتغالی برگردان شده‌است.",کتاب سفرنامه ابن بطوطه به چهل زبان زنده دنیا ترجمه شده است.,e
جلیل شهناز، علاوه برنواختن تار، که ساز اختصاصی اوست، با نواختن ویولون، سنتور و تمبک و آواز و سه تار نیز آشنایی دارد.,"ساز تخصصی جلیل شهناز، ""تار"" می باشد.",e
نشان شوالیهٔ ملی لیاقت در آیینی رسمی، شامگاه دوم تیر ۱۳۹۳ (۲۳ ژوئن ۲۰۱۴) در سفارت فرانسه در تهران به محمدرضا شجریان اهدا شد. در این آیین؛ شجریان نشان عالی وزارت فرهنگ و هنر دولت فرانسه را از برونو فوشه، سفیر فرانسه در تهران دریافت کرد و نامش در رتبه کسانی که این نشان را از دولت فرانسه دریافت کرده؛ ثبت شد. در واقع او و شهرام ناظری تنها خوانندگان ایرانی هستند که تاکنون این جایزه را دریافت کرده‌اند.,محمدرضا شجریان و شهرام ناظری، خوانندگان ایرانی هستند که نشان شوالیهٔ ملی لیاقت را دریافت نموده اند.,e
محمدرضا شجریان در سال ۱۳۸۷ یک گروه موسیقی بنیان‌گذاری کرد و آن را به افتخار جلیل شهناز (نوازندهٔ نامی تار)، گروه شهناز نامید.,"بنیان‌گذار گروه موسیقی ""شهناز""، محمدرضا شجریان است.",e
جایزه پیکاسو، جایزه‌ای است که هر پنج سال یک‌بار از سوی سازمان یونسکو به هنرمندی که برای شناساندن فرهنگ و هنر کشورش می‌کوشد، اهدا می‌شود. محمدرضا شجریان خواننده ایرانی، تنها هنرمندی است که در سال ۱۳۷۸ این جایزه را دریافت کرد.,"محمدرضا شجریان، هنرمند ایرانی برنده جایزه ""پیکاسو"" می باشد.",e
"استاد محمدرضا شجریان در قرائت قرآن نیز فعالیت داشته و ""دعای ربنا ""معروف‌ترین تلاوت قرآنیِ اوست که تنها اثر وی می باشد که توسط سازمان میراث فرهنگی صنایع دستی و گردشگری به عنوان اثر ملی ثبت شده‌است.",دعای ربنای استاد محمدرضا شجریان، تلاوت قرآنی وی می باشد که به عنوان اثر ملی ثبت شده است.,e
قصر عمره یکی از آثار بسیار زیبای عصر اموی است که به فرمان ولید بن عبدالملک ساخته شد. از شگفت های این قصر، سقف فلکی آن است که با علایمی از موجودات کیهانی و مجموعه ستارگان و تصاویر بدیع فضایی مزین شده است.,قصر عمره در عصر اموی به دستور ولید بن عبدالملک با سقف فلکی و موجودات کیهانی ساخته شد.,e
مسجد جامع کوفه از مساجد کهن اسلامی است که با انتقال مرکزیت خلافت از مدینه منوره به کوفه در عهد امام علی (ع) مورد توجه فرهیختگان عصر قرار گرفت و فقط این توجه، منجر به رشد علمی و سیاسی آن مسجد شد.,توجه بسیاری از فرهیختگان به مسجد جامع کوفه باعث رشد علمی و سیاسی این مرکز شد.,e
پس از اتحاد ماد و پارس بدست کوروش بزرگ، (۵۵۰ ق . م ) برای اولین بار اصطلاح شاهنشاه بکار رفت. این بدان جهت بود که مردم آریایی و غیر آریایی فلات ایران و پیرامون آن به کشور هخامنشی پیوستند و خصوصا پادشاهان و شهریاران آنها نیز برتری کوروش را پذیرفتند.,نخستین بار اصطلاح شاهنشاه با کوروش معمول شد.,e
پادشاهان آشوری حمله های خونین به سرزمین مادها داشتند. مهمترین علت این لشکرکشی ها این بود که ثروت و اسبان مادها را تصاحب کنند و خود توانگر شوند. سازمان ارتش آشور، برای ارابه های جنگی و به ویژه سواران، نیاز به اسب داشت و در آن روزگار، پرورش اسب تنها در نقاط کوهستانی - یعنی ماد و اورارتو و آسیای کوچک – انجام میگرفت.,آشوریها اسب مورد نیاز خود را اغلب از ماد تهیه میکردند.,e
در سال ۴۸۰ پیش از میلاد، در زمان فتح آتن به ابتکار خشایارشا موقتا پلی بزرگ از قایق بر روی بغاز (آبراه) داردانل توسط مهندسان مصری و فنیقی ساخته شد که نیروی زمینی ایران توانست از روی آن عبور کرده و وارد خاک یونان شود.,پل موقت عظیم بر آبراه داردانل در زمان خشایارشاه هخامنشی ساخته شد.,e
اردشیر سوم در ۳۳۸ پ. م به دسیسه باگواس، خواجه دربار مسموم شد و مرد. او را در تخت جمشید به خاک سپردند. ارسس، فرزند او نیز که پس از وی به پادشاهی رسید، بعدها به دست باگواس به همراه دیگر اعضای خانواده اش کشته شد.,اردشیر سوم توسط باگواس کشته شد.,e
در نبرد سالامیس ایرانیان با محاصره یونانیان، آنان را در جزیره سالامیس گیر انداختند ولی نیروی دریایی ایران برخلاف کشتی‌های یونانی که آرایش صف را اختیار کرده بودند به دلیل تنگی جا بطور ستونی اقدام به حمله کرد و ناگهان زیر آتش نیروهای دشمن قرار گرفت. جنگ تا شب ادامه داشت و در این جنگ بیش از نیمی از کشتیهای ایران نابود شد و بنابراین سپاه ایران اقدام به عقب نشینی کرد.,در نبرد سالامیس نیروی دریایی ایران آسیبی شدید دید.,e
اونتاش نپیریشا یا اونتاش گال یا اونتاش هومبان پادشاه بزرگ عیلامی است که در زمان او هنر عیلامی بخصوص در معماری و کنده کاری به اوج خود می‌رسد. این پادشاه شهری جدید به نام «دور اونتاش» را بر پا نموده و زیگورات عظیم چغازنبیل را در آن می‌سازد.,در زمان اونتاش نپیریشا، هنر عیلامی به اوج خود رسید.,e
در تمدن ایلامی در کنار اینشوشینک که خدای واضع قانون بود، ناهونته در مقام خدای اجرای قانون و تعیین‌ میزان‌ بهره‌ و تعیین‌ اوزان‌ عمل می‌کرد و حکم از سوی او صادر می‌شد و روحانیان تنها در مقام شاهد در دادگاه حضور داشتند.,مقام «خدای اجرای قانون» در ایلام را ناهونته عهده دار بود.,e
کاسیان‌ بر بابل‌ حکومت‌ می‌راندند، که‌ سلسله‌ جدیدی‌ در ایلام به‌ دست‌ ایگه‌-هالکی‌ بنیان‌گذاشته‌ شد. دوره‌ طلایی‌ ایلامی‌ها در زمان این سلسله بود و تاریخ کلاسیک ایلام، با تاسیس این سلسله رقم خورد که‌ کاملا از زیر نفوذ بابل‌ بیرون‌ رفتند و هنرایلامی‌ در همه‌ عرصه‌ها، به‌ اوج‌ شکوفایی‌ خود رسید.,موسس دوره کلاسیک ایلام ایگه هالکی بود.,e
برپایه‌ی نبشته های کهن بدست آمده از سرزمین ایلام است که می‌توان مطمئن بود که ایلامیان دستگاه دیوانی و دارایی بسیار پیشرفته‌ای داشته‌اند، و به همین دلیل هخامنشیان بهترین دبیران خود را از میان ایلامیان برگزیده بودند و بایگانی گسترده و بزرگ آن‌ها که امروزه به دست ما رسیده به دبیری و زبان ایلامی است.,بهترین دبیران هخامنشی ایلامی بودند.,e
پس از فراخوانده شدن سرآمدان نجوم از ایران و هند توسط منصور، ستاره شناسان هندی در دربار منصور حاضر شدند و کتاب سند هند کبیر را در نجوم و حساب به دربار آوردند که توسط ابراهیم فزاری به عربی ترجمه و توسط محمد بن موسی خوارزمی خلاصه شد.,در عهد منصور، ابراهیم فزاری کتاب سند هند کبیر را ترجمه و خوارزمی خلاصه کرد.,e
